Date,Bond_Yield_10Y,PE,ERP,IndexCode,IndexName,Currency,BondCode
1871-01-01,0.0358,7.38,0.09970135501355015,EWQ,MSCI France,EUR,FR10Y
1871-02-01,0.0358,7.48,0.0978898395721925,EWQ,MSCI France,EUR,FR10Y
1871-03-01,0.0358,7.66,0.09474830287206265,EWQ,MSCI France,EUR,FR10Y
1871-04-01,0.0358,7.88,0.09110355329949238,EWQ,MSCI France,EUR,FR10Y
1871-05-01,0.0358,8.07,0.08811573729863692,EWQ,MSCI France,EUR,FR10Y
1871-06-01,0.0358,8.01,0.08904394506866417,EWQ,MSCI France,EUR,FR10Y
1871-07-01,0.0358,7.86,0.0914264631043257,EWQ,MSCI France,EUR,FR10Y
1871-08-01,0.0358,7.96,0.08982814070351758,EWQ,MSCI France,EUR,FR10Y
1871-09-01,0.0358,8.04,0.08857810945273634,EWQ,MSCI France,EUR,FR10Y
1871-10-01,0.0358,7.63,0.09526159895150721,EWQ,MSCI France,EUR,FR10Y
1871-11-01,0.0358,7.71,0.0939016861219196,EWQ,MSCI France,EUR,FR10Y
1871-12-01,0.0358,7.88,0.09110355329949238,EWQ,MSCI France,EUR,FR10Y
1872-01-01,0.0358,8.02,0.08888827930174564,EWQ,MSCI France,EUR,FR10Y
1872-02-01,0.0358,8.01,0.08904394506866417,EWQ,MSCI France,EUR,FR10Y
1872-03-01,0.0358,8.22,0.085854501216545,EWQ,MSCI France,EUR,FR10Y
1872-04-01,0.0358,8.39,0.08338951132300357,EWQ,MSCI France,EUR,FR10Y
1872-05-01,0.0358,8.35,0.08396047904191617,EWQ,MSCI France,EUR,FR10Y
1872-06-01,0.0358,8.21,0.08600267965895249,EWQ,MSCI France,EUR,FR10Y
1872-07-01,0.0358,8.12,0.08735270935960593,EWQ,MSCI France,EUR,FR10Y
1872-08-01,0.0358,7.97,0.08967051442910917,EWQ,MSCI France,EUR,FR10Y
1872-09-01,0.0358,7.79,0.09256970474967907,EWQ,MSCI France,EUR,FR10Y
1872-10-01,0.0358,7.77,0.0929001287001287,EWQ,MSCI France,EUR,FR10Y
1872-11-01,0.0358,7.7,0.09407012987012986,EWQ,MSCI France,EUR,FR10Y
1872-12-01,0.0358,7.84,0.09175102040816327,EWQ,MSCI France,EUR,FR10Y
1873-01-01,0.0358,7.86,0.0914264631043257,EWQ,MSCI France,EUR,FR10Y
1873-02-01,0.0358,7.87,0.09126480304955528,EWQ,MSCI France,EUR,FR10Y
1873-03-01,0.0358,7.76,0.09306597938144331,EWQ,MSCI France,EUR,FR10Y
1873-04-01,0.0358,7.61,0.0956060446780552,EWQ,MSCI France,EUR,FR10Y
1873-05-01,0.0358,7.58,0.09612612137203166,EWQ,MSCI France,EUR,FR10Y
1873-06-01,0.0358,7.44,0.09860860215053763,EWQ,MSCI France,EUR,FR10Y
1873-07-01,0.0358,7.38,0.09970135501355015,EWQ,MSCI France,EUR,FR10Y
1873-08-01,0.0358,7.34,0.10043978201634879,EWQ,MSCI France,EUR,FR10Y
1873-09-01,0.0358,6.74,0.11256795252225518,EWQ,MSCI France,EUR,FR10Y
1873-10-01,0.0358,6.12,0.12759869281045752,EWQ,MSCI France,EUR,FR10Y
1873-11-01,0.0358,5.87,0.13455775127768313,EWQ,MSCI France,EUR,FR10Y
1873-12-01,0.0358,6.39,0.1206945226917058,EWQ,MSCI France,EUR,FR10Y
1874-01-01,0.0358,6.73,0.11278841010401189,EWQ,MSCI France,EUR,FR10Y
1874-02-01,0.0358,6.93,0.10850014430014432,EWQ,MSCI France,EUR,FR10Y
1874-03-01,0.0358,6.83,0.11061288433382138,EWQ,MSCI France,EUR,FR10Y
1874-04-01,0.0358,6.65,0.11457593984962405,EWQ,MSCI France,EUR,FR10Y
1874-05-01,0.0358,6.47,0.11875950540958269,EWQ,MSCI France,EUR,FR10Y
1874-06-01,0.0358,6.45,0.11923875968992248,EWQ,MSCI France,EUR,FR10Y
1874-07-01,0.0358,6.45,0.11923875968992248,EWQ,MSCI France,EUR,FR10Y
1874-08-01,0.0358,6.46,0.11899876160990713,EWQ,MSCI France,EUR,FR10Y
1874-09-01,0.0358,6.56,0.1166390243902439,EWQ,MSCI France,EUR,FR10Y
1874-10-01,0.0358,6.55,0.11687175572519085,EWQ,MSCI France,EUR,FR10Y
1874-11-01,0.0358,6.6,0.11571515151515152,EWQ,MSCI France,EUR,FR10Y
1874-12-01,0.0358,6.56,0.1166390243902439,EWQ,MSCI France,EUR,FR10Y
1875-01-01,0.0358,6.68,0.11390059880239523,EWQ,MSCI France,EUR,FR10Y
1875-02-01,0.0358,6.79,0.11147540500736378,EWQ,MSCI France,EUR,FR10Y
1875-03-01,0.0358,7.01,0.10685335235378032,EWQ,MSCI France,EUR,FR10Y
1875-04-01,0.0358,7.24,0.10232154696132598,EWQ,MSCI France,EUR,FR10Y
1875-05-01,0.0358,7.1,0.10504507042253522,EWQ,MSCI France,EUR,FR10Y
1875-06-01,0.0358,7.1,0.10504507042253522,EWQ,MSCI France,EUR,FR10Y
1875-07-01,0.0358,7.26,0.10194104683195593,EWQ,MSCI France,EUR,FR10Y
1875-08-01,0.0358,7.45,0.09842818791946309,EWQ,MSCI France,EUR,FR10Y
1875-09-01,0.0358,7.54,0.09682599469496023,EWQ,MSCI France,EUR,FR10Y
1875-10-01,0.0358,7.58,0.09612612137203166,EWQ,MSCI France,EUR,FR10Y
1875-11-01,0.0358,7.89,0.0909427122940431,EWQ,MSCI France,EUR,FR10Y
1875-12-01,0.0358,8.07,0.08811573729863692,EWQ,MSCI France,EUR,FR10Y
1876-01-01,0.0358,8.39,0.08338951132300357,EWQ,MSCI France,EUR,FR10Y
1876-02-01,0.0358,8.67,0.07954025374855825,EWQ,MSCI France,EUR,FR10Y
1876-03-01,0.0358,8.81,0.07770737797956867,EWQ,MSCI France,EUR,FR10Y
1876-04-01,0.0358,8.65,0.07980693641618497,EWQ,MSCI France,EUR,FR10Y
1876-05-01,0.0358,8.5,0.08184705882352941,EWQ,MSCI France,EUR,FR10Y
1876-06-01,0.0358,8.62,0.08020928074245941,EWQ,MSCI France,EUR,FR10Y
1876-07-01,0.0358,8.7,0.0791425287356322,EWQ,MSCI France,EUR,FR10Y
1876-08-01,0.0358,8.51,0.08170881316098708,EWQ,MSCI France,EUR,FR10Y
1876-09-01,0.0358,8.17,0.08659902080783353,EWQ,MSCI France,EUR,FR10Y
1876-10-01,0.0358,8.31,0.08453694344163658,EWQ,MSCI France,EUR,FR10Y
1876-11-01,0.0358,8.35,0.08396047904191617,EWQ,MSCI France,EUR,FR10Y
1876-12-01,0.0358,8.5,0.08184705882352941,EWQ,MSCI France,EUR,FR10Y
1877-01-01,0.0358,8.37,0.08367431302270013,EWQ,MSCI France,EUR,FR10Y
1877-02-01,0.0358,7.84,0.09175102040816327,EWQ,MSCI France,EUR,FR10Y
1877-03-01,0.0358,7.39,0.09951799729364005,EWQ,MSCI France,EUR,FR10Y
1877-04-01,0.0358,6.81,0.11104287812041116,EWQ,MSCI France,EUR,FR10Y
1877-05-01,0.0358,6.78,0.11169262536873156,EWQ,MSCI France,EUR,FR10Y
1877-06-01,0.0358,6.25,0.1242,EWQ,MSCI France,EUR,FR10Y
1877-07-01,0.0358,6.49,0.11828320493066255,EWQ,MSCI France,EUR,FR10Y
1877-08-01,0.0358,6.91,0.1089178002894356,EWQ,MSCI France,EUR,FR10Y
1877-09-01,0.0358,7.3,0.10118630136986301,EWQ,MSCI France,EUR,FR10Y
1877-10-01,0.0358,7.42,0.09897088948787061,EWQ,MSCI France,EUR,FR10Y
1877-11-01,0.0358,7.26,0.10194104683195593,EWQ,MSCI France,EUR,FR10Y
1877-12-01,0.0358,7.2,0.1030888888888889,EWQ,MSCI France,EUR,FR10Y
1878-01-01,0.0358,7.18,0.1034757660167131,EWQ,MSCI France,EUR,FR10Y
1878-02-01,0.0358,7.0,0.10705714285714285,EWQ,MSCI France,EUR,FR10Y
1878-03-01,0.0358,7.12,0.1046494382022472,EWQ,MSCI France,EUR,FR10Y
1878-04-01,0.0358,7.3,0.10118630136986301,EWQ,MSCI France,EUR,FR10Y
1878-05-01,0.0358,7.3,0.10118630136986301,EWQ,MSCI France,EUR,FR10Y
1878-06-01,0.0358,7.43,0.09878950201884254,EWQ,MSCI France,EUR,FR10Y
1878-07-01,0.0358,7.56,0.0964751322751323,EWQ,MSCI France,EUR,FR10Y
1878-08-01,0.0358,7.48,0.0978898395721925,EWQ,MSCI France,EUR,FR10Y
1878-09-01,0.0358,7.61,0.0956060446780552,EWQ,MSCI France,EUR,FR10Y
1878-10-01,0.0358,7.5,0.09753333333333333,EWQ,MSCI France,EUR,FR10Y
1878-11-01,0.0358,7.46,0.09824825737265416,EWQ,MSCI France,EUR,FR10Y
1878-12-01,0.0358,7.4,0.09933513513513512,EWQ,MSCI France,EUR,FR10Y
1879-01-01,0.0358,7.54,0.09682599469496023,EWQ,MSCI France,EUR,FR10Y
1879-02-01,0.0358,7.66,0.09474830287206265,EWQ,MSCI France,EUR,FR10Y
1879-03-01,0.0358,7.41,0.0991527665317139,EWQ,MSCI France,EUR,FR10Y
1879-04-01,0.0358,7.52,0.09717872340425532,EWQ,MSCI France,EUR,FR10Y
1879-05-01,0.0358,7.72,0.0937336787564767,EWQ,MSCI France,EUR,FR10Y
1879-06-01,0.0358,7.63,0.09526159895150721,EWQ,MSCI France,EUR,FR10Y
1879-07-01,0.0358,7.66,0.09474830287206265,EWQ,MSCI France,EUR,FR10Y
1879-08-01,0.0358,7.58,0.09612612137203166,EWQ,MSCI France,EUR,FR10Y
1879-09-01,0.0358,7.74,0.09339896640826872,EWQ,MSCI France,EUR,FR10Y
1879-10-01,0.0358,8.45,0.0825431952662722,EWQ,MSCI France,EUR,FR10Y
1879-11-01,0.0358,8.75,0.07848571428571428,EWQ,MSCI France,EUR,FR10Y
1879-12-01,0.0358,8.61,0.08034401858304298,EWQ,MSCI France,EUR,FR10Y
1880-01-01,0.0358,8.73,0.0787475372279496,EWQ,MSCI France,EUR,FR10Y
1880-02-01,0.0358,8.68,0.0794073732718894,EWQ,MSCI France,EUR,FR10Y
1880-03-01,0.0358,8.65,0.07980693641618497,EWQ,MSCI France,EUR,FR10Y
1880-04-01,0.0358,8.26,0.08526537530266344,EWQ,MSCI France,EUR,FR10Y
1880-05-01,0.0358,7.44,0.09860860215053763,EWQ,MSCI France,EUR,FR10Y
1880-06-01,0.0358,7.32,0.10081202185792348,EWQ,MSCI France,EUR,FR10Y
1880-07-01,0.0358,7.5,0.09753333333333333,EWQ,MSCI France,EUR,FR10Y
1880-08-01,0.0358,7.61,0.0956060446780552,EWQ,MSCI France,EUR,FR10Y
1880-09-01,0.0358,7.44,0.09860860215053763,EWQ,MSCI France,EUR,FR10Y
1880-10-01,0.0358,7.51,0.09735579227696406,EWQ,MSCI France,EUR,FR10Y
1880-11-01,0.0358,7.76,0.09306597938144331,EWQ,MSCI France,EUR,FR10Y
1880-12-01,0.0358,7.92,0.09046262626262627,EWQ,MSCI France,EUR,FR10Y
1881-01-01,0.0358,8.47,0.08226375442739078,EWQ,MSCI France,EUR,FR10Y
1881-02-01,0.0358,8.51,0.08170881316098708,EWQ,MSCI France,EUR,FR10Y
1881-03-01,0.0358,8.69,0.07927479861910243,EWQ,MSCI France,EUR,FR10Y
1881-04-01,0.0358,8.73,0.0787475372279496,EWQ,MSCI France,EUR,FR10Y
1881-05-01,0.0358,9.2,0.07289565217391306,EWQ,MSCI France,EUR,FR10Y
1881-06-01,0.0358,9.4,0.07058297872340426,EWQ,MSCI France,EUR,FR10Y
1881-07-01,0.0358,9.16,0.0733703056768559,EWQ,MSCI France,EUR,FR10Y
1881-08-01,0.0358,9.02,0.07506474501108648,EWQ,MSCI France,EUR,FR10Y
1881-09-01,0.0358,9.18,0.07313246187363835,EWQ,MSCI France,EUR,FR10Y
1881-10-01,0.0358,9.12,0.07384912280701755,EWQ,MSCI France,EUR,FR10Y
1881-11-01,0.0358,9.26,0.07219136069114471,EWQ,MSCI France,EUR,FR10Y
1881-12-01,0.0358,9.08,0.07433215859030837,EWQ,MSCI France,EUR,FR10Y
1882-01-01,0.0358,8.96,0.07580714285714285,EWQ,MSCI France,EUR,FR10Y
1882-02-01,0.0358,8.78,0.07809521640091117,EWQ,MSCI France,EUR,FR10Y
1882-03-01,0.0358,8.78,0.07809521640091117,EWQ,MSCI France,EUR,FR10Y
1882-04-01,0.0358,8.8,0.07783636363636363,EWQ,MSCI France,EUR,FR10Y
