Date,Bond_Yield_10Y,PE,ERP,IndexCode,IndexName,Currency,BondCode
1871-01-01,,11.1,,SPY,S&P 500,USD,US10Y
1871-02-01,,11.25,,SPY,S&P 500,USD,US10Y
1871-03-01,,11.52,,SPY,S&P 500,USD,US10Y
1871-04-01,,11.85,,SPY,S&P 500,USD,US10Y
1871-05-01,,12.15,,SPY,S&P 500,USD,US10Y
1871-06-01,,12.05,,SPY,S&P 500,USD,US10Y
1871-07-01,,11.82,,SPY,S&P 500,USD,US10Y
1871-08-01,,11.98,,SPY,S&P 500,USD,US10Y
1871-09-01,,12.1,,SPY,S&P 500,USD,US10Y
1871-10-01,,11.48,,SPY,S&P 500,USD,US10Y
1871-11-01,,11.6,,SPY,S&P 500,USD,US10Y
1871-12-01,,11.85,,SPY,S&P 500,USD,US10Y
1872-01-01,,12.07,,SPY,S&P 500,USD,US10Y
1872-02-01,,12.05,,SPY,S&P 500,USD,US10Y
1872-03-01,,12.37,,SPY,S&P 500,USD,US10Y
1872-04-01,,12.63,,SPY,S&P 500,USD,US10Y
1872-05-01,,12.56,,SPY,S&P 500,USD,US10Y
1872-06-01,,12.36,,SPY,S&P 500,USD,US10Y
1872-07-01,,12.22,,SPY,S&P 500,USD,US10Y
1872-08-01,,12.0,,SPY,S&P 500,USD,US10Y
1872-09-01,,11.72,,SPY,S&P 500,USD,US10Y
1872-10-01,,11.69,,SPY,S&P 500,USD,US10Y
1872-11-01,,11.58,,SPY,S&P 500,USD,US10Y
1872-12-01,,11.79,,SPY,S&P 500,USD,US10Y
1873-01-01,,11.82,,SPY,S&P 500,USD,US10Y
1873-02-01,,11.84,,SPY,S&P 500,USD,US10Y
1873-03-01,,11.68,,SPY,S&P 500,USD,US10Y
1873-04-01,,11.45,,SPY,S&P 500,USD,US10Y
1873-05-01,,11.41,,SPY,S&P 500,USD,US10Y
1873-06-01,,11.19,,SPY,S&P 500,USD,US10Y
1873-07-01,,11.11,,SPY,S&P 500,USD,US10Y
1873-08-01,,11.04,,SPY,S&P 500,USD,US10Y
1873-09-01,,10.14,,SPY,S&P 500,USD,US10Y
1873-10-01,,9.21,,SPY,S&P 500,USD,US10Y
1873-11-01,,8.83,,SPY,S&P 500,USD,US10Y
1873-12-01,,9.61,,SPY,S&P 500,USD,US10Y
1874-01-01,,10.13,,SPY,S&P 500,USD,US10Y
1874-02-01,,10.43,,SPY,S&P 500,USD,US10Y
1874-03-01,,10.28,,SPY,S&P 500,USD,US10Y
1874-04-01,,10.0,,SPY,S&P 500,USD,US10Y
1874-05-01,,9.74,,SPY,S&P 500,USD,US10Y
1874-06-01,,9.7,,SPY,S&P 500,USD,US10Y
1874-07-01,,9.7,,SPY,S&P 500,USD,US10Y
1874-08-01,,9.72,,SPY,S&P 500,USD,US10Y
1874-09-01,,9.87,,SPY,S&P 500,USD,US10Y
1874-10-01,,9.85,,SPY,S&P 500,USD,US10Y
1874-11-01,,9.93,,SPY,S&P 500,USD,US10Y
1874-12-01,,9.87,,SPY,S&P 500,USD,US10Y
1875-01-01,,10.05,,SPY,S&P 500,USD,US10Y
1875-02-01,,10.22,,SPY,S&P 500,USD,US10Y
1875-03-01,,10.55,,SPY,S&P 500,USD,US10Y
