date,000300,000688,000922,000015,399989,931071,000069,930781,399975,SPY,QQQ,EWQ,EWG,EWJ,EEM,HSTECH,399967,931066,930598,000819,950125,931637,399986,930633,931946,980032
2023-08-22,3.823,0.946,1.331,3.022,0.399,0.902,0.56,0.995,1.004,1.509,,1.515,,1.157,,0.554,1.033,0.66,1.025,1.007,,0.783,1.11,0.863,,0.739
2023-08-23,3.768,0.922,1.326,3.028,0.391,0.872,0.55,0.981,0.977,1.51,,1.512,,1.164,,0.55,1.01,0.643,0.998,0.984,,0.785,1.107,0.846,,0.718
2023-08-24,3.791,0.929,1.317,3.012,0.401,0.87,0.561,1.006,0.992,1.532,,1.521,,1.175,,0.57,1.011,0.646,0.998,1.002,,0.819,1.104,0.851,,0.725
2023-08-25,3.784,0.912,1.32,3.015,0.396,0.831,0.555,0.972,0.998,1.501,0.987,1.479,,1.142,,0.561,0.994,0.638,0.985,0.987,,0.804,1.113,0.835,,0.719
2023-08-28,3.837,0.922,1.337,3.057,0.399,0.835,0.561,0.982,1.023,1.515,0.998,1.508,,1.164,,0.571,1.003,0.644,0.998,0.992,,0.814,1.13,0.843,,0.719
2023-08-29,3.859,0.97,1.342,3.057,0.408,0.865,0.569,1.015,1.016,1.524,1.003,1.519,,1.161,,0.584,1.031,0.658,1.022,1.006,,0.826,1.116,0.86,,0.742
2023-08-30,3.858,0.988,1.334,3.027,0.41,0.887,0.568,1.017,0.987,1.545,1.02,1.534,,1.166,,0.58,1.04,0.664,1.021,1.007,,0.812,1.101,0.852,,0.74
2023-08-31,3.839,0.987,1.318,2.994,0.408,0.888,0.565,1.002,0.968,1.553,1.025,1.537,,1.18,,0.576,1.035,0.662,1.014,0.997,,0.799,1.097,0.842,,0.733
2023-09-01,3.862,0.98,1.333,3.022,0.406,0.878,0.569,0.998,0.969,1.544,1.023,1.516,,1.18,,0.58,1.029,0.658,1.023,1.019,,0.805,1.108,0.851,,0.734
2023-09-04,3.92,0.989,1.352,3.068,0.411,0.886,0.577,1.007,0.976,1.547,1.018,1.515,,1.188,,0.59,1.038,0.663,1.05,1.05,,0.815,1.128,0.867,,0.741
2023-09-05,3.893,0.975,1.342,3.044,0.408,0.874,0.574,0.992,0.967,1.548,1.022,1.502,,1.185,,0.581,1.036,0.659,1.047,1.045,,0.8,1.118,0.863,,0.737
2023-09-06,3.883,0.979,1.342,3.041,0.401,0.873,0.57,0.981,0.964,1.548,1.028,1.501,,1.194,,0.576,1.053,0.674,1.048,1.042,,0.796,1.121,0.855,,0.735
2023-09-07,3.83,0.942,1.333,3.033,0.394,0.852,0.563,0.968,0.959,1.535,1.012,1.49,,1.186,,0.566,1.038,0.666,1.028,1.025,,0.788,1.117,0.85,,0.718
2023-09-08,3.809,0.944,1.327,3.014,0.395,0.849,0.558,0.956,0.964,1.544,1.023,1.506,,1.179,,0.559,1.062,0.681,1.025,1.015,,0.781,1.112,0.85,,0.708
2023-09-11,3.837,0.951,1.336,3.035,0.403,0.865,0.57,0.976,0.979,1.536,1.02,1.503,,1.175,,0.56,1.054,0.671,1.035,1.031,,0.785,1.114,0.861,,0.711
2023-09-12,3.832,0.945,1.335,3.03,0.403,0.864,0.569,0.966,0.968,1.541,1.035,1.503,,1.182,,0.563,1.048,0.667,1.037,1.028,,0.787,1.112,0.857,,0.714
2023-09-13,3.807,0.932,1.339,3.045,0.398,0.841,0.566,0.957,0.957,1.53,1.029,1.488,,1.172,,0.558,1.031,0.659,1.024,1.022,,0.779,1.112,0.849,,0.706
2023-09-14,3.804,0.925,1.35,3.083,0.399,0.831,0.564,0.947,0.961,1.537,1.039,1.491,,1.19,,0.56,1.029,0.659,1.021,1.028,,0.783,1.124,0.844,,0.695
2023-09-15,3.787,0.929,1.351,3.085,0.407,0.821,0.563,0.953,0.957,1.548,1.044,1.504,,1.197,,0.562,1.03,0.659,1.02,1.028,,0.785,1.118,0.848,,0.689
2023-09-18,3.8,0.923,1.349,3.087,0.412,0.82,0.572,0.96,0.955,1.531,1.035,1.501,,1.19,,0.554,1.022,0.653,1.028,1.029,,0.774,1.119,0.866,,0.698
