日期,收盘点位,市值(港币),PE-TTM等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2026-04-20,=5065.6300,=14534379044810.1602,=31.3796,=0.0553,=287.4039,=65.8656,=39.3852
2026-04-17,=5042.6800,=14397300868638.9922,=31.1347,=0.0525,=287.4039,=65.9127,=39.4037
2026-04-16,=5092.0800,=14507544404472.3496,=31.5934,=0.0582,=287.4039,=65.9322,=39.4037
2026-04-15,=4911.7900,=13958582944016.0195,=30.3865,=0.0362,=287.4039,=65.9516,=39.4047
2026-04-14,=4851.9600,=13764574268004.6191,=29.7651,=0.0306,=290.0846,=66.0022,=39.4047
2026-04-13,=4822.0100,=13671676528669.1699,=29.2851,=0.0235,=290.0846,=66.0528,=39.4475
2026-04-10,=4860.2600,=13871569385397.2031,=30.0562,=0.0313,=290.0846,=66.0959,=39.4666
2026-04-09,=4821.6700,=13806592407687.6914,=29.5893,=0.0271,=290.0846,=66.1390,=39.4703
2026-04-08,=4923.2500,=14018454873273.2207,=30.4629,=0.0356,=290.0846,=66.2042,=39.4981
2026-04-02,=4679.1000,=13382165918115.5820,=29.5397,=0.0257,=294.1998,=66.2694,=39.4981
2026-04-01,=4756.4500,=13621448352111.8105,=29.7374,=0.0278,=294.1998,=66.2825,=39.5974
2026-03-31,=4649.8200,=13319205332893.5898,=29.5418,=0.0257,=294.1998,=66.2956,=39.6261
2026-03-30,=4690.0800,=13343996623940.8418,=30.5394,=0.0336,=294.1998,=66.2967,=39.7683
2026-03-27,=4778.0100,=13621497296421.4980,=30.9726,=0.0408,=294.1998,=66.2978,=39.8237
2026-03-26,=4761.5400,=13607025251384.4609,=29.4777,=0.0251,=295.1269,=66.3526,=39.8237
2026-03-25,=4922.9400,=14015681023483.7773,=31.3489,=0.0458,=295.1269,=66.4074,=39.8678
2026-03-24,=4830.8900,=13882436715244.5508,=31.6438,=0.0516,=295.1269,=66.4194,=39.9525
2026-03-23,=4712.4800,=13506911560852.2500,=31.0733,=0.0423,=295.1269,=66.4313,=39.9622
2026-03-20,=4872.3800,=13902291806588.7891,=32.4338,=0.0610,=295.1269,=66.4384,=39.9886
2026-03-19,=4996.2800,=14260581621031.8184,=28.5960,=0.0165,=306.1175,=66.4455,=39.9886
2026-03-18,=5108.3000,=14809079105150.6406,=29.7068,=0.0252,=306.1175,=66.5320,=40.0967
2026-03-17,=5107.6400,=14792601962384.5508,=30.4096,=0.0302,=306.1175,=66.6185,=40.1110
2026-03-16,=5111.7800,=14857440184481.3496,=30.9897,=0.0382,=306.1175,=66.6721,=40.1637
2026-03-13,=4978.0800,=14510542623875.6094,=30.4511,=0.0303,=306.1175,=66.7258,=40.1940
2026-03-12,=5027.6400,=14558800286466.5391,=30.1683,=0.0274,=308.7117,=66.7258,=40.1940
2026-03-11,=5054.8500,=14667477473960.9102,=30.5741,=0.0296,=308.7117,=66.7259,=40.2706
2026-03-10,=5060.5300,=14687285307225.5293,=34.4951,=0.1105,=308.7117,=66.7533,=40.2910
2026-03-09,=4941.7300,=14140273559201.7793,=33.4123,=0.0773,=308.7117,=66.7808,=40.3051
2026-03-06,=4947.5000,=14209533842680.5391,=34.0292,=0.0962,=308.7117,=66.7984,=40.3105
2026-03-05,=4796.3300,=13770878488560.9629,=31.6661,=0.0470,=313.1174,=66.8160,=40.3105
2026-03-04,=4829.5000,=13911260169636.8320,=32.3608,=0.0536,=313.1174,=66.8631,=40.3517
2026-03-03,=4876.5300,=14092072014226.6855,=32.6348,=0.0594,=313.1174,=66.9102,=40.4062
2026-03-02,=4989.3700,=14330562242839.9297,=32.9247,=0.0645,=313.1174,=66.9206,=40.4767
2026-02-27,=5137.8400,=14681795404742.8535,=33.7951,=0.0871,=313.1174,=66.9310,=40.4827
2026-02-26,=5109.3300,=14604805207723.8203,=33.4868,=0.0755,=316.0819,=67.0896,=40.4827
