Date,Bond_Yield_10Y,PE,ERP,IndexCode,IndexName,Currency,BondCode
2005-04-08,,14.98,,300,HS300,CNY,CN10Y
2005-04-11,,15.12,,300,HS300,CNY,CN10Y
2005-04-12,,14.75,,300,HS300,CNY,CN10Y
2005-04-13,,15.12,,300,HS300,CNY,CN10Y
2005-04-14,,14.99,,300,HS300,CNY,CN10Y
2005-04-15,,14.79,,300,HS300,CNY,CN10Y
2005-04-18,,14.61,,300,HS300,CNY,CN10Y
2005-04-19,,14.58,,300,HS300,CNY,CN10Y
2005-04-20,,14.39,,300,HS300,CNY,CN10Y
2005-04-21,,14.3,,300,HS300,CNY,CN10Y
2005-04-22,,14.33,,300,HS300,CNY,CN10Y
2005-04-25,,14.15,,300,HS300,CNY,CN10Y
2005-04-26,,14.28,,300,HS300,CNY,CN10Y
2005-04-27,,14.09,,300,HS300,CNY,CN10Y
2005-04-28,,14.3,,300,HS300,CNY,CN10Y
2005-04-29,,13.99,,300,HS300,CNY,CN10Y
2005-05-09,,13.71,,300,HS300,CNY,CN10Y
2005-05-10,,13.81,,300,HS300,CNY,CN10Y
2005-05-11,,13.64,,300,HS300,CNY,CN10Y
2005-05-12,,13.32,,300,HS300,CNY,CN10Y
2005-05-13,,13.33,,300,HS300,CNY,CN10Y
2005-05-16,,13.16,,300,HS300,CNY,CN10Y
2005-05-17,,13.15,,300,HS300,CNY,CN10Y
2005-05-18,,13.15,,300,HS300,CNY,CN10Y
2005-05-19,,13.15,,300,HS300,CNY,CN10Y
2005-05-20,,13.12,,300,HS300,CNY,CN10Y
2005-05-23,,12.79,,300,HS300,CNY,CN10Y
2005-05-24,,12.75,,300,HS300,CNY,CN10Y
2005-05-25,,12.72,,300,HS300,CNY,CN10Y
2005-05-26,,12.56,,300,HS300,CNY,CN10Y
2005-05-27,,12.47,,300,HS300,CNY,CN10Y
2005-05-30,,12.57,,300,HS300,CNY,CN10Y
2005-05-31,,12.58,,300,HS300,CNY,CN10Y
2005-06-01,,12.3,,300,HS300,CNY,CN10Y
2005-06-02,,12.02,,300,HS300,CNY,CN10Y
2005-06-03,,11.98,,300,HS300,CNY,CN10Y
2005-06-06,,12.26,,300,HS300,CNY,CN10Y
2005-06-07,,12.19,,300,HS300,CNY,CN10Y
2005-06-08,,13.22,,300,HS300,CNY,CN10Y
2005-06-09,,13.39,,300,HS300,CNY,CN10Y
2005-06-10,,13.09,,300,HS300,CNY,CN10Y
2005-06-13,,13.06,,300,HS300,CNY,CN10Y
2005-06-14,,12.94,,300,HS300,CNY,CN10Y
2005-06-15,,12.71,,300,HS300,CNY,CN10Y
2005-06-16,,12.86,,300,HS300,CNY,CN10Y
2005-06-17,,12.85,,300,HS300,CNY,CN10Y
